request_id,employee_id,leave_type,start_date,end_date,days_requested,status
90232,1037,Work From Home,2025-01-01,2025-01-01,1,Pending
90237,1037,Casual Leave,2025-01-03,2025-01-03,1,Approved
90165,1026,Work From Home,2025-01-04,2025-01-04,1,Approved
90302,1047,Sick Leave,2025-01-05,2025-01-09,5,Approved
90231,1037,Sick Leave,2025-01-05,2025-01-05,1,Approved
90130,1019,Sick Leave,2025-01-07,2025-01-07,1,Approved
90144,1021,Work From Home,2025-01-07,2025-01-07,1,Approved
90235,1037,Casual Leave,2025-01-08,2025-01-08,1,Approved
90157,1023,Casual Leave,2025-01-10,2025-01-11,2,Pending
90233,1037,Earned Leave,2025-01-10,2025-01-10,1,Approved
90171,1026,Sick Leave,2025-01-10,2025-01-11,2,Approved
90290,1045,Sick Leave,2025-01-11,2025-01-12,2,Approved
90415,1062,Casual Leave,2025-01-12,2025-01-14,3,Approved
90229,1037,Work From Home,2025-01-12,2025-01-12,1,Approved
90309,1047,Earned Leave,2025-01-13,2025-01-14,2,Approved
90088,1013,Work From Home,2025-01-13,2025-01-13,1,Approved
90173,1026,Casual Leave,2025-01-15,2025-01-17,3,Approved
90154,1022,Earned Leave,2025-01-15,2025-01-16,2,Pending
90303,1047,Casual Leave,2025-01-16,2025-01-17,2,Approved
90172,1026,Earned Leave,2025-01-16,2025-01-16,1,Approved
90220,1035,Sick Leave,2025-01-17,2025-01-17,1,Approved
90240,1038,Earned Leave,2025-01-19,2025-01-21,3,Approved
90239,1038,Earned Leave,2025-01-20,2025-01-20,1,Approved
90133,1020,Earned Leave,2025-01-22,2025-01-23,2,Pending
90189,1030,Casual Leave,2025-01-22,2025-01-22,1,Rejected
90170,1026,Earned Leave,2025-01-22,2025-01-26,5,Approved
90253,1040,Sick Leave,2025-01-22,2025-01-22,1,Approved
90026,1004,Earned Leave,2025-01-23,2025-01-23,1,Approved
90319,1049,Casual Leave,2025-01-23,2025-01-25,3,Approved
90167,1026,Casual Leave,2025-01-24,2025-01-30,7,Approved
90286,1044,Casual Leave,2025-01-25,2025-01-25,1,Rejected
90009,1002,Unpaid Leave,2025-01-27,2025-01-31,5,Approved
90049,1006,Earned Leave,2025-01-28,2025-01-28,1,Approved
90200,1032,Casual Leave,2025-01-29,2025-01-31,3,Approved
90307,1047,Casual Leave,2025-01-30,2025-01-30,1,Approved
90168,1026,Work From Home,2025-01-31,2025-01-31,1,Pending
90166,1026,Casual Leave,2025-01-31,2025-02-01,2,Approved
90230,1037,Earned Leave,2025-02-04,2025-02-04,1,Pending
90078,1012,Sick Leave,2025-02-04,2025-02-04,1,Approved
90255,1041,Earned Leave,2025-02-05,2025-02-09,5,Rejected
90057,1009,Work From Home,2025-02-05,2025-02-11,7,Approved
90169,1026,Casual Leave,2025-02-06,2025-02-06,1,Approved
90346,1052,Earned Leave,2025-02-10,2025-02-11,2,Pending
90070,1011,Casual Leave,2025-02-10,2025-02-10,1,Approved
90258,1041,Sick Leave,2025-02-10,2025-02-10,1,Approved
90006,1002,Casual Leave,2025-02-11,2025-02-11,1,Rejected
90234,1037,Work From Home,2025-02-11,2025-02-13,3,Approved
90175,1028,Casual Leave,2025-02-13,2025-02-13,1,Rejected
90066,1011,Sick Leave,2025-02-13,2025-02-13,1,Approved
90369,1056,Casual Leave,2025-02-14,2025-02-14,1,Approved
90034,1005,Casual Leave,2025-02-15,2025-02-15,1,Approved
90242,1039,Sick Leave,2025-02-16,2025-02-16,1,Approved
90372,1056,Unpaid Leave,2025-02-16,2025-02-16,1,Approved
90254,1041,Work From Home,2025-02-17,2025-02-19,3,Rejected
90025,1004,Casual Leave,2025-02-18,2025-02-18,1,Approved
90022,1004,Sick Leave,2025-02-19,2025-02-19,1,Approved
90247,1040,Sick Leave,2025-02-23,2025-02-25,3,Approved
90335,1051,Casual Leave,2025-02-24,2025-02-24,1,Approved
90152,1022,Sick Leave,2025-02-25,2025-02-25,1,Approved
90296,1046,Casual Leave,2025-02-26,2025-02-27,2,Approved
90236,1037,Sick Leave,2025-02-27,2025-02-27,1,Approved
90211,1034,Sick Leave,2025-02-28,2025-02-28,1,Rejected
90411,1062,Casual Leave,2025-02-28,2025-02-28,1,Approved
90219,1035,Unpaid Leave,2025-02-28,2025-03-02,3,Approved
90128,1019,Work From Home,2025-03-01,2025-03-01,1,Approved
90145,1021,Work From Home,2025-03-03,2025-03-05,3,Approved
90163,1024,Earned Leave,2025-03-04,2025-03-04,1,Approved
90317,1049,Sick Leave,2025-03-11,2025-03-11,1,Approved
90407,1061,Casual Leave,2025-03-17,2025-03-19,3,Approved
90209,1033,Sick Leave,2025-03-18,2025-03-18,1,Approved
90132,1020,Sick Leave,2025-03-19,2025-03-19,1,Approved
90164,1024,Sick Leave,2025-03-23,2025-03-23,1,Approved
90147,1022,Earned Leave,2025-03-26,2025-03-26,1,Approved
90161,1024,Sick Leave,2025-03-28,2025-03-28,1,Approved
90074,1012,Earned Leave,2025-03-30,2025-03-30,1,Approved
90064,1011,Casual Leave,2025-03-30,2025-03-30,1,Approved
90413,1062,Work From Home,2025-03-31,2025-04-01,2,Approved
90058,1009,Earned Leave,2025-03-31,2025-04-02,3,Approved
90142,1021,Casual Leave,2025-03-31,2025-04-02,3,Approved
90158,1023,Casual Leave,2025-04-01,2025-04-01,1,Approved
90124,1019,Work From Home,2025-04-03,2025-04-04,2,Approved
90326,1050,Sick Leave,2025-04-05,2025-04-05,1,Approved
90208,1033,Sick Leave,2025-04-10,2025-04-14,5,Approved
90343,1052,Casual Leave,2025-04-11,2025-04-11,1,Rejected
90311,1047,Work From Home,2025-04-12,2025-04-16,5,Approved
90257,1041,Sick Leave,2025-04-13,2025-04-13,1,Approved
90149,1022,Earned Leave,2025-04-14,2025-04-18,5,Approved
90121,1019,Work From Home,2025-04-14,2025-04-15,2,Approved
90085,1013,Casual Leave,2025-04-15,2025-04-15,1,Approved
90238,1038,Sick Leave,2025-04-16,2025-04-16,1,Pending
90041,1005,Earned Leave,2025-04-18,2025-04-18,1,Approved
90019,1003,Sick Leave,2025-04-18,2025-04-18,1,Approved
90203,1032,Sick Leave,2025-04-18,2025-04-18,1,Approved
90187,1030,Sick Leave,2025-04-19,2025-04-19,1,Approved
90098,1014,Sick Leave,2025-04-19,2025-04-19,1,Approved
90087,1013,Work From Home,2025-04-20,2025-04-20,1,Approved
90120,1018,Casual Leave,2025-04-20,2025-04-20,1,Approved
90010,1002,Unpaid Leave,2025-04-23,2025-04-23,1,Approved
90389,1059,Sick Leave,2025-04-23,2025-04-24,2,Approved
90399,1060,Sick Leave,2025-04-24,2025-04-25,2,Approved
90403,1061,Work From Home,2025-04-25,2025-04-25,1,Approved
